	faith_pd
DTL	20.292235728999998
DTM	26.138422101000003
DTS	22.601120426999998
DTT	26.078112417
TN1	2.907882219
TN10	15.334036981
TN11	15.872486336999998
TN12	19.085009664
TN13	9.431104395
TN14	7.040741382
TN15	8.941976737000001
TN16	10.407925133
TN17	16.460112293
TN18	7.170910717
TN2	18.378125412
TN20	11.654407828
TN23	6.85419218
TN24	4.711884271999999
TN3	3.9208767409999994
TN4	3.93657522
TN5	7.2466815790000005
TN7	3.2385715049999995
TN8	7.206464791
TN9	2.343556157
WA1	8.988718918
WA10	4.705058918
WA11	6.454684152
WA13	14.453795368000002
WA14	9.965627837
WA15	13.03194627
WA17	8.032474874999998
WA18	11.015184622
WA19	12.030045788999999
WA2	5.644201881000001
WA21	3.4455832739999996
WA22	8.971687619999999
WA24	7.442525337999999
WA3	3.846579567
WA4	14.579962779
WA5	9.458350245
WA6	7.4584475470000005
WA7	10.448079221
WA8	7.547807539
WA9	7.372863918
