	shannon
DTL	7.458536496006134
DTM	8.021064080876188
DTS	8.205607301533902
DTT	7.7924085969244175
TN1	4.482377631001849
TN10	5.675400358905035
TN11	5.831149379943395
TN12	5.962690681896954
TN13	4.798671213274486
TN14	4.669456073173792
TN15	4.544846810339343
TN16	4.513933071582463
TN17	5.078865506846655
TN18	4.400738421953289
TN2	5.16643892970529
TN20	5.852423152712301
TN23	4.284495352835471
TN24	4.901228336431424
TN3	4.787434767343134
TN4	5.291391114234952
TN5	5.933883101535076
TN7	5.860503673008078
TN8	5.136152691674504
TN9	4.647281959317138
WA1	5.8984228591963035
WA10	5.4176335212278675
WA11	4.788058786312567
WA13	5.585715969415654
WA14	4.472408237845922
WA15	3.7303630415714024
WA17	5.97321584939604
WA18	5.912029439930114
WA19	4.7220994303253265
WA2	5.567179765137643
WA21	4.972897821120254
WA22	5.969188926496444
WA24	6.027767832289318
WA3	4.357382204192976
WA4	5.868663941907545
WA5	5.591318076691989
WA6	5.8406321675202015
WA7	4.9459371454969805
WA8	4.115258460498689
WA9	5.017670038300924
